Frequency/GHz	 Amplitude rel. 2	 Phase 2	 Ref.Amplitude rel. 2	 Ref.Phase 2
466.0	0.558906	63.94855	0.8098323	50.90016
467.0	0.559592	64.07366	0.8124671	50.98562
468.0	0.560366	64.19874	0.8150033	51.07125
469.0	0.5612332	64.32382	0.8174186	51.15701
470.0	0.5621974	64.44891	0.8196958	51.24286
471.0	0.56326	64.57405	0.8218237	51.32877
472.0	0.5644205	64.69926	0.8237979	51.41469
473.0	0.5656762	64.82456	0.8256213	51.50058
474.0	0.567022	64.94998	0.8273044	51.58639
475.0	0.5684506	65.07554	0.8288654	51.67209
476.0	0.5699528	65.20127	0.8303297	51.75764
477.0	0.5715169	65.32719	0.8317292	51.84301
478.0	0.57313	65.45331	0.8331016	51.92817
479.0	0.5747772	65.57964	0.8344892	52.01313
480.0	0.5764427	65.7062	0.8359371	52.09786
481.0	0.5781096	65.83299	0.8374917	52.18239
482.0	0.5797609	65.96	0.8391988	52.26673
483.0	0.5813792	66.08724	0.8411016	52.35091
484.0	0.5829476	66.21469	0.8432386	52.43498
485.0	0.5844499	66.34234	0.8456418	52.51899
486.0	0.5858712	66.47018	0.848335	52.60299
487.0	0.5871982	66.59817	0.851332	52.68706
488.0	0.5884196	66.72631	0.8546358	52.77126
489.0	0.5895264	66.85455	0.858238	52.85566
490.0	0.5905121	66.98286	0.8621179	52.94033
491.0	0.5913734	67.11123	0.8662436	53.02532
492.0	0.5921099	67.2396	0.870572	53.11069
493.0	0.5927245	67.36796	0.8750506	53.19648
494.0	0.5932233	67.49626	0.8796189	53.28272
495.0	0.5936157	67.62447	0.8842102	53.36942
496.0	0.5939145	67.75257	0.8887543	53.45659
497.0	0.5941355	67.88053	0.8931797	53.5442
498.0	0.594297	68.00832	0.897416	53.63224
499.0	0.5944202	68.13593	0.9013971	53.72066
500.0	0.5945281	68.26335	0.905063	53.8094
501.0	0.5946452	68.39057	0.9083627	53.8984
502.0	0.5947972	68.51759	0.9112561	53.98758
