freq(GHz)	real_ε	real_ε_SG_filtered	real_ε_SG_filtered+RA	loss_T	loss_T_SG_filtered	loss_T_SG_filtered+RA
91.3	2.796066023	2.7982351853769076	2.798214910946143	0.005407433	0.005694164472059204	0.0057008645274355734
91.35	2.799499438	2.798285070953997	2.798264495956369	0.00550454	0.0056813294532827505	0.005688073706762331
91.4	2.798030837	2.798336076383219	2.7983151776955015	0.005873314	0.005668584833705216	0.005675369170908667
91.45	2.797897814	2.798388262165929	2.7983670129523217	0.005410537	0.005655952847845276	0.00566277179304791
91.5	2.798538283	2.798441689276297	2.7984200593377535	0.005506485	0.005643457074138863	0.005650303817030206
91.55	2.798336858	2.7984964183694094	2.798474374520958	0.005699985	0.00563112226099343	0.00563798869723071
91.6	2.798011779	2.7985525089878074	2.7985300154606114	0.005410102	0.005618974142151146	0.005625850926930012
91.65	2.798584153	2.798610018772434	2.7985870376372874	0.005502194	0.005607039243319874	0.005613915857078992
91.7	2.798556891	2.7986690026838796	2.798645494292768	0.005339377	0.005595344682042838	0.005602209507326353
91.75	2.797900412	2.7987295122397025	2.798705435682003	0.005421235	0.005583917962768503	0.005590758371192429
91.8	2.798321405	2.79879159477344	2.7987669083433295	0.00533242	0.005572786769052229	0.0055795892172583435
91.85	2.798612395	2.798855292720759	2.79882995439239	0.004501439	0.005561978754772546	0.005568728888206561
91.9	2.799930079	2.79892064293802	2.798894610845018	0.004923414	0.005551521336178826	0.005558204099498682
91.95	2.801140152	2.7989876760582786	2.798960908974178	0.005137164	0.005541441486506032	0.0055480412394107535
92.0	2.8016853	2.7990564158895674	2.7990288737058044	0.005126384	0.005531765534798005	0.005538266172067186
92.05	2.800075731	2.7991268788600117	2.799098523058166	0.005663225	0.0055225189704756015	0.005528904045023516
92.1	2.801749624	2.7991990735140853	2.7991698676291032	0.005699866	0.0055137262550723565	0.00551997910284778
92.15	2.803823798	2.799273000064034	2.7992429101352365	0.006330351	0.0055054106424406	0.005511514508041955
92.2	2.800014783	2.7993486500001494	2.7993176450069015	0.007529638	0.005497594008607159	0.005503532170530795
92.25	2.796068947	2.7994260057633147	2.799394058042289	0.006689616	0.005490296692331803	0.005496052586827102
92.3	2.796555677	2.7995050404828143	2.799472126123887	0.00541306	0.0054835373472948735	0.0054890946898615515
92.35	2.797527314	2.7995857177820884	2.7995518169999802	0.005517696	0.005477332806714289	0.0054826757103432055
92.4	2.798172685	2.799667991654671	2.799633089133567	0.005362016	0.00547169796106723	0.005476811050394919
92.45	2.798212249	2.799751806412154	2.7997158916206386	0.005251932	0.005466645649469108	0.005471514170087071
92.5	2.799157945	2.7998370967055455	2.7998001641793495	0.005205418	0.005462186565142498	0.005466796487374382
92.55	2.798954515	2.799923787620944	2.7998858372111366	0.005272576	0.005458329175292139	0.005462667291824803
92.6	2.798671722	2.800011794849953	2.7999728319344035	0.005075798	0.005455079655589493	0.005459133672417323
92.65	2.800345386	2.800101024934755	2.800061060590884	0.005066177	0.005452441839362124	0.005456200459577681
92.7	2.800432708	2.8001913755872554	2.800150426724302	0.0052041	0.005450417181480267	0.005453870181518062
92.75	2.800829211	2.8002827360811824	2.8002408255304543	0.005144539	0.0054490047368360136	0.005452143034849285
92.8	2.800567028	2.8003749877154878	2.800332144277319	0.005236627	0.005448201153220064	0.005451016869342342
92.85	2.800970821	2.8004680043468944	2.8004242627932614	0.005491832	0.005448000678317872	0.005450487186630672
92.9	2.798696721	2.800561652988848	2.800517054020924	0.005659311	0.005448395180471048	0.005450547152565427
92.95	2.802943251	2.8006557944736814	2.8006103846338264	0.00571583	0.005449374182781332	0.005451187622863547
93.0	2.800194356	2.800750284174188	2.8007041157122337	0.005420645	0.005450924910073078	0.005452397181622441
93.05	2.800156923	2.8008449727803697	2.80079810347431	0.005570381	0.005453032348175439	0.005454162192215505
93.1	2.801250341	2.800939707126576	2.8008922000581244	0.005879276	0.005455679314937039	0.005456466860029222
93.15	2.799388597	2.8010343310637835	2.8009862543495734	0.005548368	0.005458846542343317	0.005459293306454777
93.2	2.799622875	2.801128686371326	2.801080112850864	0.004926031	0.005462512769069204	0.005462621653504586
93.25	2.802522439	2.8012226137019454	2.801173620583758	0.005477529	0.005466654842766661	0.0054664301183863515
93.3	2.800956083	2.80131595355363	2.801266622021415	0.005060397	0.0054712478313572325	0.005470695117333768
93.35	2.799099	2.801408547261386	2.8013589620422925	0.005284137	0.005476265142573415	0.0054753913779635776
93.4	2.804411371	2.8015002380017524	2.801450486899291	0.005153211	0.005481678650969149	0.005480492059402732
93.45	2.802787416	2.8015908718026243	2.8015410451970206	0.005025604	0.005487458831598981	0.005485968879406939
93.5	2.803166742	2.8016802985507527	2.8016304888699155	0.00522013	0.005493574899547241	0.005491792247672487
93.55	2.802297928	2.8017683729891525	2.801718674153711	0.005202509	0.005499994954473534	0.005497931404526984
93.6	2.801424495	2.801854955696558	2.8018054625427435	0.005945953	0.005506686129328585	0.00550435456417139
93.65	2.801376525	2.801939914041083	2.8018907217254876	0.005956852	0.0055136147423853815	0.005511029061635668
93.7	2.800933445	2.8020231231002732	2.8019743264907553	0.005234693	0.0055207464517246915	0.00551792150260348
93.75	2.805641593	2.8021044665398933	2.8020561595971243	0.00536365	0.005528046411311632	0.005524997915257771
93.8	2.804176527	2.80218383744396	2.8021361125982716	0.006194399	0.005535479427801285	0.005532223903298992
93.85	2.802651195	2.8022611390888237	2.8022140866171696	0.006487133	0.005543010117216195	0.005539564799291104
93.9	2.801427585	2.8023362856544347	2.8022899930623617	0.006160646	0.00555060306064727	0.0055469858174975635
93.95	2.80077834	2.8024092028663126	2.802363754279917	0.005687347	0.005558222958141893	0.005554452205380243
94.0	2.801279472	2.8024798285622263	2.8024353041350816	0.005582571	0.005565834779959452	0.005561929392948721
94.05	2.801191538	2.802548113178134	2.802504588518141	0.005585398	0.005573403914394651	0.005569383139165708
94.1	2.800205657	2.8026140201484786	2.8025715657695303	0.004717813	0.005580896311393184	0.005576779674636442
94.15	2.80284597	2.802677526216631	2.802636207019853	0.004768075	0.0055882786212121715	0.005584085839835888
94.2	2.803771841	2.8027386216519248	2.8026984964411157	0.005181812	0.005595518327409473	0.0055912692181575
94.25	2.804366773	2.8027973103704893	2.8027584314061462	0.005524912	0.005602583873481506	0.005598298263101186
94.3	2.804376388	2.802853609957845	2.8028160225539556	0.005504249	0.0056094447825086186	0.005605142418956118
94.35	2.804616556	2.802907551592056	2.8028712937595066	0.005800057	0.00561607176921066	0.005611772234376078
94.4	2.803419471	2.802959179867057	2.8029242820072042	0.00543893	0.005622436843863392	0.005618159468291171
94.45	2.803851148	2.8030085525166215	2.8029750371681788	0.005946976	0.005628513407578745	0.00562427718765004
94.5	2.802431508	2.8030557400403175	2.803023621682319	0.005798476	0.005634276338508776	0.0056300998565409505
94.55	2.804452287	2.8031008252336505	2.803070110146778	0.005363061	0.005639702068594253	0.0056356034162981915
94.6	2.803387208	2.8031439026254477	2.803114588813547	0.005780591	0.005644768650544115	0.0056407653562617795
94.65	2.804481172	2.8031850778263783	2.8031571549994756	0.005787683	0.005649455814800857	0.005645564774922993
94.7	2.803990078	2.8032244667933273	2.8031979164129166	0.006188408	0.005653745016318575	0.005649982431255325
94.75	2.803542429	2.803262195015078	2.803236990401923	0.006179862	0.005657619471053927	0.0056540007860992345
94.8	2.803312542	2.8032983966255327	2.8032745031296633	0.006455752	0.005661064182144499	0.005657604033539019
94.85	2.799791809	2.803333213451344	2.803310588683372	0.005907461	0.005664065955822792	0.005660778122280446
94.9	2.801084432	2.803366794001467	2.8033453881238066	0.004616839	0.005666613407186716	0.0056635107671076015
94.95	2.805497782	2.803399292406692	2.803379048482733	0.004874272	0.0056686969560178335	0.005665791450566114
95.0	2.805830064	2.803430867317718	2.8034117217164543	0.005937861	0.005670308812906622	0.0056676114150867275
95.05	2.804347995	2.803461680770732	2.8034435636238673	0.006629753	0.005671442956008528	0.005668963645827448
95.1	2.802868044	2.803491897029798	2.803474732737856	0.006000986	0.005672095098815659	0.005669842844573662
95.15	2.803559698	2.8035216814156394	2.8035053891991404	0.006050422	0.005672262649385978	0.005670245395093264
95.2	2.80260176	2.8035511991305406	2.803535693621891	0.005638809	0.005671944661524726	0.005670169320397276
95.25	2.802633093	2.803580614089208	2.8035658059605484	0.005588853	0.005671141778461127	0.0056696142324055895
95.3	2.802454613	2.8036100877654215	2.8035958843873177	0.005726314	0.0056698561696066395	0.005668581274561666
95.35	2.80188858	2.8036397780641873	2.8036260841897542	0.004814704	0.005668091461018805	0.005667073057979134
95.4	2.803417756	2.8036698382289718	2.8036565566977316	0.005552185	0.005665852660226834	0.005665093591736876
95.45	2.804458308	2.803700415793267	2.803687448248836	0.005508461	0.005663146076100975	0.005662648207966995
95.5	2.804539226	2.8037316515854096	2.803718899200946	0.005621079	0.005659979234467381	0.0056597434824019206
95.55	2.803625662	2.8037636787951006	2.803751043000343	0.005674386	0.005656360790183215	0.005656387151062363
95.6	2.803523688	2.80379662210957	2.8037840053132266	0.005356745	0.005652300436393078	0.0056525880237770455
95.65	2.803849024	2.803830596926683	2.8038179032279755	0.005771213	0.0056478088116871826	0.00564835589522779
95.7	2.803491785	2.803865708651644	2.803852844534849	0.005746031	0.00564289740587397	0.005643701454209973
95.75	2.802992293	2.8039020520831746	2.8038889270891643	0.005471549	0.005637578465065543	0.005638636191788662
95.8	2.804563454	2.803939710894256	2.803926238263208	0.00541268	0.005631864896753471	0.005633172309015203
95.85	2.804409722	2.803978757211675	2.8039648544913915	0.005758	0.005625770175526256	0.005627322624848002
95.9	2.803678172	2.804019251297716	2.804004840912269	0.005426926	0.005619308250048655	0.005621100484895197
95.95	2.804129386	2.804061241336416	2.804046251110197	0.00549053	0.005612493451887864	0.0056145196715663105
96.0	2.804055779	2.8041047633258467	2.8040891269584924	0.00520289	0.0056053404067328005	0.005607594316185371
96.05	2.805535453	2.8041498410769354	2.8041334985650304	0.006072048	0.005597863948511209	0.005600338813579942
96.1	2.804108684	2.8041964863183457	2.804179384320281	0.00598728	0.00559007903686502	0.005592767739619669
96.15	2.803610764	2.8042446989059617	2.8042267910468563	0.005552516	0.005582000678398317	0.005584895772134787
96.2	2.804301534	2.8042944671345977	2.8042757142487025	0.005578014	0.005573643852064575	0.005576737615600055
96.25	2.804326815	2.8043457681485515	2.80432613845715	0.005629384	0.005565023439011248	0.005568307929923324
96.3	2.805005174	2.80439856844676	2.8043780376701686	0.005939254	0.005556154157150745	0.005559621263630732
96.35	2.803427947	2.804452824477433	2.8044313758802857	0.006284385	0.005547050500677437	0.005550691991692796
96.4	2.80253054	2.8045084833161735	2.8044861076858236	0.005976291	0.005537726684701335	0.005541534258187745
96.45	2.801753283	2.8045654834208915	2.8045421789793528	0.004986253	0.005528196595120549	0.005532161923950667
96.5	2.804995058	2.8046237554560385	2.8045995277065314	0.004767187	0.005518473743806881	0.005522588519309803
96.55	2.805218361	2.8046832231781056	2.80465808468786	0.005229522	0.00550857122913186	0.005512827201964909
96.6	2.805051859	2.8047438043737234	2.8047177744953222	0.005106063	0.005498501701814509	0.005502890720017408
96.65	2.805774658	2.8048054118412566	2.80477851637536	0.005392399	0.005488277336027524	0.005492791380118544
96.7	2.806022245	2.804867954406382	2.80484022520925	0.005771602	0.0054779098056559365	0.005482541020660144
96.75	2.804822693	2.8049313379618384	2.804902812501587	0.005697706	0.00546741026556231	0.005472150989893441
96.8	2.805108786	2.804995466521379	2.804966187387394	0.005890568	0.0054567893376757425	0.005461632128824842
96.85	2.804921474	2.805060243277815	2.8050302576481805	0.005750631	0.00544605710168879	0.005450994758704206
96.9	2.804377063	2.805125571655067	2.8050949307272877	0.005655616	0.005435223090117344	0.0054402486728910545
96.95	2.802979513	2.8051913563442654	2.8051601147348553	0.005696197	0.00542429628745351	0.0054294031328578326
97.0	2.804464141	2.8052575043141035	2.805225719432931	0.00540093	0.005413285133120899	0.0054184668680665165
97.05	2.804092419	2.805323925785973	2.8052916571914577	0.005242898	0.005402197527925486	0.005407448079435996
97.1	2.804773211	2.805390535164795	2.805357843906213	0.004819821	0.005391040843683003	0.0053963544461022896
97.15	2.807094786	2.8054572519169345	2.8054241998701928	0.00475885	0.005379821935695303	0.00538519313516194
97.2	2.807350084	2.8055240013871394	2.8054906505904222	0.005293489	0.005368547157742772	0.005373970814080689
97.25	2.806392655	2.805590715547103	2.805557127542767	0.005489898	0.005357222379257105	0.005362693665444681
