Frequency/GHz, Amplitude rel., Phase
  3760.0,  1.394613E-4,   280.12927
  3770.0,  1.330476E-4,   280.96654
  3780.0,  1.203282E-4,   281.71298
  3790.0,  1.228739E-4,   282.41512
  3800.0,  1.255435E-4,   283.23381
  3810.0,  1.130533E-4,   284.01162
  3820.0,  1.090503E-4,   284.64437
  3830.0,  1.191267E-4,   285.38225
  3840.0,  1.158156E-4,   286.22130
  3850.0,  1.026235E-4,   286.94985
  3860.0,  1.034529E-4,   287.61706
  3870.0,  1.074564E-4,   288.42261
  3880.0,  1.005672E-4,   289.24794
  3890.0,  9.477309E-5,   290.01347
  3900.0,  9.037614E-5,   290.82526
  3910.0,  7.788908E-5,   291.58342
  3920.0,  7.686625E-5,   292.16328
  3930.0,  9.229978E-5,   292.94043
  3940.0,  9.349648E-5,   293.90491
  3950.0,  7.546834E-5,   294.77019
  3960.0,  6.502074E-5,   295.34934
  3970.0,  7.468481E-5,   296.03051
  3980.0,  7.753926E-5,   296.94748
  3990.0,  6.393591E-5,   297.82156
  4000.0,  5.413972E-5,   298.43753
  4010.0,  5.863076E-5,   299.17442
  4020.0,  5.193458E-5,   300.13551
  4030.0,  3.346993E-5,   300.83264
  4040.0,  3.633943E-5,   301.16810
  4050.0,  4.620670E-5,   302.09533
  4060.0,  4.057759E-5,   303.13821
  4070.0,  3.044425E-5,   303.84380
  4080.0,  3.511859E-5,   304.41352
  4090.0,  4.242074E-5,   305.31886
  4100.0,  4.216838E-5,   306.24973
  4110.0,  4.057315E-5,   307.06620
  4120.0,  3.988740E-5,   307.89319
  4130.0,  3.542453E-5,   308.66078
  4140.0,  3.619457E-5,   309.25349
  4150.0,  4.288224E-5,   310.06291
  4160.0,  3.999897E-5,   310.97345
  4170.0,  3.441270E-5,   311.60814
  4180.0,  4.002441E-5,   312.29352
  4190.0,  3.975507E-5,   313.25968
  4200.0,  2.904875E-5,   314.13420
  4210.0,  2.157552E-5,   314.71187
  4220.0,  1.938482E-5,   315.26474
  4230.0,  2.188816E-5,   315.86065
  4240.0,  2.759787E-5,   316.84452
  4250.0,  2.587255E-5,   318.04273
  4260.0,  1.654841E-5,   318.95868
  4270.0,  1.724105E-5,   319.26676
  4280.0,  2.367903E-5,   320.18023
  4290.0,  2.023979E-5,   321.18300
  4300.0,  1.448390E-5,   321.72865
  4310.0,  1.617139E-5,   322.29425
  4320.0,  1.386024E-5,   323.26092
  4330.0,  5.176362E-6,   324.00021
  4340.0,  8.367960E-6,   323.18824
  4350.0,  1.747910E-5,   324.32137
  4360.0,  2.206000E-5,   325.68743
  4370.0,  2.160094E-5,   327.07357
  4380.0,  1.716605E-5,   328.31188
  4390.0,  1.201642E-5,   329.17940
  4400.0,  1.098447E-5,   329.69542
  4410.0,  1.266979E-5,   330.36936
  4420.0,  1.309021E-5,   331.16530
  4430.0,  1.292504E-5,   331.88143
  4440.0,  1.477299E-5,   332.69520
  4450.0,  1.422863E-5,   333.79185
  4460.0,  7.135653E-6,   334.77884
  4470.0,  8.150187E-6,   334.27990
  4480.0,  1.612348E-5,   335.40250
  4490.0,  1.401052E-5,   336.72283
  4500.0,  3.949423E-6,   337.42782
  4510.0,  1.001222E-5,   336.90629
  4520.0,  1.583888E-5,   338.13807
  4530.0,  1.627342E-5,   339.48496
  4540.0,  1.456984E-5,   340.89388
  4550.0,  1.231223E-5,   342.23229
  4560.0,  9.753223E-6,   343.27414
  4570.0,  8.038729E-6,   344.03168
  4580.0,  6.245744E-6,   344.63112
  4590.0,  5.501117E-6,   345.09436
  4600.0,  2.648369E-6,   345.90086
  4610.0,  5.642410E-6,   344.44033
  4620.0,  1.337441E-5,   345.79702
  4630.0,  1.553087E-5,   347.28265
  4640.0,  1.403088E-5,   348.72832
  4650.0,  1.308489E-5,   349.98735
  4660.0,  1.197518E-5,   351.12695
  4670.0,  7.757183E-6,   351.89068
  4680.0,  1.031053E-5,   352.12667
  4690.0,  1.445695E-5,   353.34100
  4700.0,  1.153697E-5,   355.02447
  4710.0,  7.799504E-6,   357.17516
  4720.0,  6.255350E-6,   359.23009
  4730.0,  3.689960E-6,   361.14665
  4740.0,  3.158532E-6,   362.99543
  4750.0,  5.269990E-6,   363.90223
  4760.0,  8.940602E-6,   364.90222
  4770.0,  7.610135E-6,   366.14120
  4780.0,  2.643457E-6,   364.21653
  4790.0,  1.536668E-5,   365.64566
  4800.0,  1.964076E-5,   366.99459
  4810.0,  1.363057E-5,   368.23281
  4820.0,  6.177000E-6,   369.28781
  4830.0,  2.021556E-6,   371.69504
  4840.0,  7.888914E-6,   374.32659
  4850.0,  1.357638E-5,   376.25495
  4860.0,  1.696392E-5,   378.19691
  4870.0,  1.512420E-5,   380.05400
  4880.0,  7.665759E-6,   382.09221
  4890.0,  5.850488E-6,   385.03647
