Frequency/GHz, Amplitude rel., Phase
  6410.0,  2.726564E-4,   235.84943
  6420.0,  2.611496E-4,   236.20426
  6430.0,  2.734927E-4,   236.52190
  6440.0,  2.823812E-4,   236.95454
  6450.0,  2.602109E-4,   237.33923
  6460.0,  2.571459E-4,   237.64520
  6470.0,  2.572406E-4,   238.02089
  6480.0,  2.479878E-4,   238.35576
  6490.0,  2.534877E-4,   238.70655
  6500.0,  2.431133E-4,   239.10290
  6510.0,  2.280200E-4,   239.41393
  6520.0,  2.295612E-4,   239.73227
  6530.0,  2.235208E-4,   240.07560
  6540.0,  2.230321E-4,   240.36818
  6550.0,  2.351498E-4,   240.71971
  6560.0,  2.321327E-4,   241.12085
  6570.0,  2.193877E-4,   241.47072
  6580.0,  2.120126E-4,   241.77892
  6590.0,  2.177016E-4,   242.07229
  6600.0,  2.331746E-4,   242.46504
  6610.0,  2.202924E-4,   242.91089
  6620.0,  2.004888E-4,   243.23036
  6630.0,  1.981391E-4,   243.56945
  6640.0,  1.824445E-4,   243.89241
  6650.0,  1.909432E-4,   244.14422
