Time_abs/ps	 Signal 2/nA	 Ref.signal 2/nA
601.0	0.608299	12.677303
601.05	1.473515	16.049141
601.1	2.413641	15.421985
601.15	3.481705	10.597115
601.2	4.569719	2.939648
601.25	5.581816	-5.355488
601.3	6.415064	-12.23821
601.35	6.913065	-16.436095
601.4	6.999243	-17.646447
601.45	6.602463	-16.195368
601.5	5.747408	-12.678209
601.55	4.492847	-7.724014
601.6	2.878128	-2.000933
601.65	1.081007	3.536275
601.7	-0.77947	7.668414
601.75	-2.45308	9.401124
601.8	-3.755322	8.78527
601.85	-4.532437	6.904277
601.9	-4.719336	5.135615
601.95	-4.327019	4.3303
602.0	-3.468594	4.627558
602.05	-2.371145	5.530898
602.1	-1.24855	6.123846
602.15	-0.293358	5.702631
602.2	0.340685	4.161318
602.25	0.573305	1.765924
602.3	0.374649	-1.298462
602.35	-0.194189	-4.889196
602.4	-0.995951	-8.408051
602.45	-1.932336	-10.590271
602.5	-2.76874	-10.152534
602.55	-3.372228	-6.65849
602.6	-3.619033	-0.848104
602.65	-3.504711	5.616866
602.7	-3.03936	11.045311
602.75	-2.318738	14.414353
602.8	-1.50159	15.419329
602.85	-0.661721	13.926745
602.9	0.133083	9.659874
602.95	0.837644	2.275184
603.0	1.431166	-7.677927
603.05	1.920918	-17.99529
603.1	2.348999	-25.261928
603.15	2.697131	-26.709266
603.2	2.908127	-22.067858
603.25	2.974464	-13.529106
603.3	2.818666	-4.154688
603.35	2.416598	3.900874
603.4	1.780283	9.702368
603.45	1.02001	12.889955
603.5	0.230151	13.336844
603.55	-0.457565	11.245352
603.6	-0.899433	7.748229
603.65	-1.017383	4.622765
603.7	-0.793608	3.326019
603.75	-0.282423	4.10979
603.8	0.409963	5.961733
603.85	1.126612	7.354301
603.9	1.697576	7.298363
603.95	1.945172	5.785973
604.0	1.762274	3.660167
604.05	1.127008	1.902093
604.1	0.156846	0.866875
604.15	-1.03181	0.374104
604.2	-2.189099	0.131803
604.25	-3.142836	0.070326
604.3	-3.766696	0.150725
604.35	-3.969337	0.103482
604.4	-3.813944	-0.348573
604.45	-3.356373	-1.251159
604.5	-2.702345	-2.494958
604.55	-1.854583	-3.977722
604.6	-0.900234	-5.600921
604.65	0.221026	-7.155258
604.7	1.484045	-8.416284
604.75	2.872455	-9.013439
604.8	4.324296	-8.705628
604.85	5.736021	-7.406132
604.9	6.922635	-5.330925
604.95	7.708797	-2.724276
605.0	7.947619	0.300004
605.05	7.568386	3.441744
605.1	6.492813	6.018537
605.15	4.858607	7.31746
605.2	2.867155	7.07791
605.25	0.786483	5.77859
605.3	-1.116915	4.361125
605.35	-2.581115	3.499914
605.4	-3.414027	3.256731
605.45	-3.565238	3.336812
605.5	-3.087519	3.706216
605.55	-2.177725	4.594701
605.6	-1.055138	5.98776
605.65	-0.03483	7.098136
605.7	0.610452	6.635174
605.75	0.668695	3.779568
605.8	0.060174	-0.744722
605.85	-1.055878	-5.115053
605.9	-2.485236	-7.496285
605.95	-3.949986	-7.173118
606.0	-5.162998	-4.711808
606.05	-5.917711	-1.529997
606.1	-6.107237	0.986257
606.15	-5.755937	2.3099
606.2	-4.892826	2.887314
606.25	-3.631453	3.445168
606.3	-2.133527	4.209988
606.35	-0.46386	4.575073
606.4	1.239331	3.574621
606.45	2.845151	0.745892
606.5	4.257348	-3.429936
606.55	5.347041	-7.598713
606.6	6.05002	-10.261231
606.65	6.328871	-10.48276
606.7	6.121548	-8.30981
606.75	5.49229	-4.619794
606.8	4.499013	-0.503691
606.85	3.235119	3.252389
606.9	1.82803	6.317136
606.95	0.429424	8.394303
607.0	-0.902803	9.021577
607.05	-2.03591	7.705155
607.1	-2.880373	4.473894
607.15	-3.398822	0.18097
607.2	-3.498771	-3.593708
607.25	-3.17814	-5.432643
607.3	-2.501548	-4.765311
607.35	-1.541637	-2.135396
607.4	-0.465177	1.095899
607.45	0.503365	3.678154
607.5	1.216622	5.029169
607.55	1.553617	5.495569
607.6	1.45219	5.859242
607.65	0.958131	6.562433
607.7	0.160471	7.20501
607.75	-0.830759	6.951497
607.8	-1.819167	5.416332
607.85	-2.669594	3.282656
607.9	-3.266491	1.688096
607.95	-3.528065	1.260593
608.0	-3.462614	1.527856
608.05	-3.109041	1.301674
608.1	-2.537094	-0.413938
608.15	-1.830656	-3.684099
608.2	-1.039449	-7.713769
608.25	-0.208081	-11.36352
608.3	0.597519	-13.600731
608.35	1.386644	-13.541323
608.4	2.088681	-10.734967
608.45	2.677822	-5.531957
608.5	3.067575	0.708414
608.55	3.241934	6.125744
608.6	3.144783	9.028714
608.65	2.746985	8.355729
608.7	2.107458	4.104879
608.75	1.293318	-2.402132
608.8	0.430729	-8.839925
608.85	-0.324492	-12.740949
608.9	-0.83088	-12.408181
608.95	-0.989569	-7.757566
609.0	-0.786577	-0.465968
609.05	-0.252024	6.833368
609.1	0.492705	11.82008
609.15	1.273594	13.56017
609.2	1.931183	12.531651
609.25	2.238913	9.998099
609.3	2.082634	7.236533
609.35	1.426963	5.221108
609.4	0.30053	4.332266
609.45	-1.071444	4.093717
609.5	-2.485446	3.434116
609.55	-3.719915	1.585891
609.6	-4.602393	-1.326585
609.65	-4.985109	-4.282055
609.7	-4.904115	-5.973869
609.75	-4.386304	-5.836819
609.8	-3.560175	-4.673643
609.85	-2.523712	-3.985309
609.9	-1.435755	-4.828824
609.95	-0.364686	-7.046096
610.0	0.657065	-9.464185
610.05	1.571109	-10.670722
610.1	2.394108	-9.749804
610.15	3.136242	-6.727451
610.2	3.738861	-2.323424
610.25	4.188376	2.493725
610.3	4.460937	6.843084
610.35	4.555885	9.784849
610.4	4.477451	10.676624
610.45	4.231394	9.400131
610.5	3.834019	6.516886
610.55	3.362812	2.889535
610.6	2.793753	-0.790306
610.65	2.204324	-3.967716
610.7	1.607929	-6.035907
610.75	1.03169	-6.287422
610.8	0.443617	-4.504947
610.85	-0.126224	-1.386385
610.9	-0.679827	1.671435
610.95	-1.243476	3.510639
611.0	-1.77994	4.085594
611.05	-2.280771	4.230912
611.1	-2.748992	4.835184
611.15	-3.134865	6.163889
611.2	-3.367015	7.694301
611.25	-3.451682	8.700431
611.3	-3.357582	8.686398
611.35	-3.078245	7.322194
611.4	-2.645967	4.404962
611.45	-2.087571	-0.010694
611.5	-1.443005	-5.382832
611.55	-0.775102	-10.587217
611.6	-0.121788	-14.181497
611.65	0.492066	-15.121456
611.7	1.065721	-13.267166
611.75	1.615148	-9.416614
611.8	2.128933	-4.87258
611.85	2.616175	-0.741217
611.9	3.043899	2.433812
611.95	3.388513	4.658664
